公司,年/月,季別,合併(Y/N),月份,幣別,營業收入淨額,營業成本,營業毛利,聯屬公司已（未）實現銷貨利益,已實現銷貨毛利,營業費用,  研究發展費,  預期信用減損（損失）利益－營業費用,其他收益及費損淨額,營業利益,  利息收入,其他收入,其他利益及損失,財務成本,採權益法之關聯企業及合資損益之份額,預期信用減損（損失）利益,除列按攤銷後成本衡量金融資產淨損益,金融資產重分類淨損益,營業外收入及支出－其他,營業外收入及支出,稅前淨利,所得稅費用,繼續營業單位損益,停業單位損益,合併前非屬共同控制股權損益,其他損益調整項－非常項目及累計影響數,合併總損益,  不重分類至損益之項目－OCI,  後續可能重分類至損益之項目－OCI,  合併前非屬共同控制股權綜合損益淨額－OCI,其他綜合損益－OCI,本期綜合損益總額,歸屬母公司淨利（損）,歸屬非控制權益淨利（損）,歸屬共同控制下前手權益淨利（損）,綜合損益歸屬母公司,綜合損益歸屬非控制權益,綜合損益歸屬共同控制下前手權益,每股盈餘,加權平均股數,發放特別股股息,稀釋稅後淨利,每股盈餘－完全稀釋,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利
1101 台泥,2021/03,1,Y,03,NTD,"22,037,652","16,512,812","5,524,840",0,"5,524,840","1,317,264",0,0,0,"4,207,576","354,116","489,550","-138,757","417,888","714,592",0,0,0,0,"647,497","4,855,073","1,113,682","3,741,391","-11,154",0,0,"3,730,237","943,631","-1,636,655",0,"-693,024","3,037,213","3,318,974","411,263",0,"2,621,147","416,066",0,0.57,"5,849,567",0,"3,367,646",0.55,"6,116,536","5,272,961","7,094,985","3,751,093"
1102 亞泥,2021/03,1,Y,03,NTD,"18,903,823","14,543,635","4,360,188",0,"4,360,188","637,168",0,"-37,285",0,"3,723,020","186,605","364,799","264,843","199,008","590,229",0,0,0,0,"1,020,863","4,743,883","894,641","3,849,242",0,0,0,"3,849,242","302,892","-556,313",0,"-253,421","3,595,821","3,200,039","649,203",0,"3,059,849","535,972",0,1.02,"3,129,007",0,"3,207,884",0.97,"3,312,139","4,942,891","6,172,160","3,409,212"
1101 台泥,2020/12,4,Y,12,NTD,"114,367,247","76,779,667","37,587,580",0,"37,587,580","6,245,763","29,046",0,0,"31,341,817","1,363,489","3,429,417","-631,963","1,986,208","3,200,243",0,0,0,0,"4,011,489","35,353,306","7,361,913","27,991,393",0,0,0,"27,991,393","-4,614,203","2,118,705",0,"-2,495,498","25,495,895","25,099,309","2,892,084",0,"22,708,608","2,787,287",0,4.32,"5,735,314","350,000","25,027,103",4.09,"6,117,882","37,339,514","44,604,597","28,194,434"
1102 亞泥,2020/12,4,Y,12,NTD,"79,939,010","56,609,534","23,329,476",0,"23,329,476","3,659,338",0,"543,918",0,"19,670,138","1,085,263","2,084,819","-1,086,933","1,163,645","4,639,504",0,0,0,0,"4,473,745","24,143,883","5,370,076","18,773,807",0,0,0,"18,773,807","-1,296,527","107,196",0,"-1,189,331","17,584,476","14,710,486","4,063,321",0,"13,255,580","4,328,896",0,4.7,"3,129,384",0,"14,621,682",4.41,"3,313,723","25,307,528","30,255,079","18,849,027"
1101 台泥,2020/09,3,Y,09,NTD,"82,248,488","55,034,502","27,213,986",0,"27,213,986","4,377,170","20,648",0,0,"22,836,816","993,550","2,986,481","-225,240","1,513,668","2,133,067",0,0,0,0,"3,380,640","26,217,456","5,511,154","20,706,302",0,0,0,"20,706,302","-2,633,756","-1,686,004",0,"-4,319,760","16,386,542","18,407,237","2,299,065",0,"14,212,926","2,173,616",0,3.15,"5,729,368","350,000","18,268,450",2.99,"6,117,425","27,731,124","33,115,235","20,819,005"
1102 亞泥,2020/09,3,Y,09,NTD,"55,805,195","40,027,442","15,777,753",0,"15,777,753","2,700,577",0,"357,689",0,"13,077,176","871,620","1,662,268","-521,886","945,378","3,590,156",0,0,0,0,"3,785,160","16,862,336","3,874,737","12,987,599",0,0,0,"12,987,599","-2,702,611","-1,298,535",0,"-4,001,146","8,986,453","10,340,758","2,646,841",0,"6,490,948","2,495,505",0,3.3,"3,129,531",0,"10,253,461",3.09,"3,313,156","17,807,714","21,492,280","13,009,345"
1101 台泥,2020/06,2,Y,06,NTD,"52,439,827","35,779,548","16,660,279",0,"16,660,279","2,875,517","11,102",0,0,"13,784,762","667,567","1,850,145","-143,423","1,040,515","1,088,621",0,0,0,0,"1,754,828","15,539,590","3,413,905","12,125,685",0,0,0,"12,125,685","-2,976,079","-4,573,417",0,"-7,549,496","4,576,189","10,934,623","1,191,062",0,"3,509,985","1,066,204",0,1.94,"5,456,619","350,000","10,725,635",1.85,"5,806,888","16,580,105","20,161,322","12,228,530"
1102 亞泥,2020/06,2,Y,06,NTD,"34,201,908","24,826,905","9,375,003",0,"9,375,003","1,942,527",0,"239,828",0,"7,432,476","608,295","1,097,918","-542,612","694,620","1,991,426",0,0,0,0,"1,852,112","9,284,588","2,450,770","6,833,818",0,0,0,"6,833,818","-2,371,255","-2,657,904",0,"-5,029,159","1,804,659","5,411,178","1,422,640",0,"909,615","895,044",0,1.73,"3,129,621",0,"5,411,921",1.64,"3,300,810","9,979,208","12,407,435","7,126,288"
1101 台泥,2020/03,1,Y,03,NTD,"21,976,200","16,195,489","5,780,711",0,"5,780,711","1,320,557","3,374",0,0,"4,460,154","294,427","519,309","-37,753","526,077","318,243",0,0,0,0,"273,722","4,733,876","1,252,757","3,481,119",0,0,0,"3,481,119","-1,752,978","-2,851,885",0,"-4,604,863","-1,123,744","2,999,822","481,297",0,"-1,489,310","365,566",0,0.55,"5,457,619",0,"3,070,328",0.53,"5,808,333","5,259,953","7,058,766","3,544,724"
1102 亞泥,2020/03,1,Y,03,NTD,"13,382,242","10,684,300","2,697,942",0,"2,697,942","676,303",0,"-2,991",0,"2,021,639","293,871","345,107","-581,646","375,063","158,251",0,0,0,0,"-453,351","1,568,288","437,689","1,130,599",0,0,0,"1,130,599","-4,107,275","-639,607",0,"-4,746,882","-3,616,283","743,772","386,827",0,"-3,864,421","248,138",0,0.24,"3,130,220",0,"743,772",0.24,"3,136,644","1,943,351","3,171,262","1,732,059"
